what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1257778569539
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20090506-1500,"org.eclipse.team.svn.ui",1257778569599
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1257778571843
started,bundle,org.eclipse.mtj.core.hooks,1.0.0.v200906121354,"org.eclipse.mtj.core.hooks",1257778571912
started,bundle,org.eclipse.mtj.core,1.0.0.v200906121354,"org.eclipse.mtj.core",1257778571919
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1257778571999
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778593168
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778852206
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1257778852438
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1257778853731
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1257778853789
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1257778854013
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1257778854741
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778875157
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778875944
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778876421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778877527
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778888930
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778980272
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257778981631
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257779017992
activated,editor,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.editor",1257779018126
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257779020822
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1257779021274
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1257779021897
